,date,open,close,high,low,volume,code
0,2014-11-17,8.226,8.481,8.481,8.187,49865.0,921
1,2014-11-18,8.403,8.501,8.511,8.353,45215.0,921
2,2014-11-19,8.501,8.461,8.501,8.412,42019.0,921
3,2014-11-20,8.432,8.304,8.452,8.275,38034.0,921
4,2014-11-21,8.324,8.432,8.452,8.236,44222.0,921
5,2014-11-24,8.442,8.412,8.491,8.373,99503.0,921
6,2014-11-25,8.422,8.422,8.452,8.373,84911.0,921
7,2014-11-26,8.452,8.53,8.53,8.383,106907.0,921
8,2014-11-27,8.53,8.569,8.589,8.471,124500.0,921
9,2014-11-28,8.569,8.53,8.569,8.461,69900.0,921
10,2014-12-01,8.511,8.589,8.609,8.461,111711.0,921
11,2014-12-02,8.569,8.599,8.638,8.52,101358.0,921
12,2014-12-03,8.628,8.677,8.776,8.569,145766.0,921
13,2014-12-04,8.707,8.756,8.785,8.668,143423.0,921
14,2014-12-05,8.756,8.491,8.815,8.393,137392.0,921
15,2014-12-08,8.432,8.53,8.569,8.393,90925.0,921
16,2014-12-09,8.53,8.422,8.766,8.344,150851.0,921
17,2014-12-10,8.373,8.628,8.707,8.265,115115.0,921
18,2014-12-11,8.589,8.805,8.893,8.56,130064.0,921
19,2014-12-12,8.834,8.854,8.884,8.717,138746.0,921
20,2014-12-15,8.952,8.933,9.011,8.854,147406.0,921
21,2014-12-16,8.942,8.766,8.972,8.707,103740.0,921
22,2014-12-17,8.746,8.628,8.776,8.54,90799.0,921
23,2014-12-18,8.618,8.658,8.717,8.54,71415.0,921
24,2014-12-19,8.628,8.452,8.628,8.353,88155.0,921
25,2014-12-22,8.422,8.422,8.52,8.324,66391.0,921
26,2014-12-23,8.412,8.403,8.511,8.324,47613.0,921
27,2014-12-24,8.412,8.54,8.54,8.403,44043.0,921
28,2014-12-25,8.56,8.55,8.589,8.501,46817.0,921
29,2014-12-26,8.55,8.471,8.56,8.432,56063.0,921
30,2014-12-29,8.461,8.373,8.481,8.334,56894.0,921
31,2014-12-30,8.344,8.108,8.383,8.049,79058.0,921
32,2014-12-31,8.098,8.196,8.236,8.098,36046.0,921
33,2015-01-05,8.206,8.501,8.54,8.167,107081.0,921
34,2015-01-06,8.452,8.638,8.668,8.344,121665.0,921
35,2015-01-07,8.648,8.569,8.658,8.491,64186.0,921
36,2015-01-08,8.55,8.579,8.658,8.491,69385.0,921
37,2015-01-09,8.609,8.422,8.697,8.412,61306.0,921
38,2015-01-12,8.383,8.314,8.393,8.196,53748.0,921
39,2015-01-13,8.314,8.412,8.452,8.275,35560.0,921
40,2015-01-14,8.422,8.726,8.736,8.412,129439.0,921
41,2015-01-15,8.726,8.795,8.923,8.668,160362.0,921
42,2015-01-16,8.795,8.785,8.805,8.618,68989.0,921
43,2015-01-19,8.628,8.461,8.736,8.236,87101.0,921
44,2015-01-20,8.461,8.815,8.825,8.461,75960.0,921
45,2015-01-21,8.815,8.864,8.903,8.736,122258.0,921
46,2015-01-22,8.864,8.864,8.913,8.785,76000.0,921
47,2015-01-23,8.854,8.717,8.864,8.687,83437.0,921
48,2015-01-26,8.618,8.884,8.884,8.618,93457.0,921
49,2015-01-27,8.884,8.923,8.992,8.785,140402.0,921
50,2015-01-28,8.933,8.785,8.933,8.785,90143.0,921
51,2015-01-29,8.776,8.687,8.795,8.618,74324.0,921
52,2015-01-30,8.717,9.227,9.423,8.717,415031.0,921
53,2015-02-02,9.08,9.247,9.365,8.992,228912.0,921
54,2015-02-03,9.306,9.453,9.62,9.07,245801.0,921
55,2015-02-04,9.365,9.207,9.541,9.207,195465.0,921
56,2015-02-05,9.306,9.207,9.365,9.08,138215.0,921
57,2015-02-06,9.158,8.884,9.168,8.834,133538.0,921
58,2015-02-09,8.884,8.903,9.031,8.844,99516.0,921
59,2015-02-10,8.923,8.972,9.011,8.874,74949.0,921
60,2015-02-11,8.982,9.178,9.365,8.982,164452.0,921
61,2015-02-12,9.217,9.384,9.492,9.129,174353.0,921
62,2015-02-13,9.374,9.286,9.433,9.257,145052.0,921
63,2015-02-16,9.306,9.649,9.777,9.276,213383.0,921
64,2015-02-17,9.669,9.639,9.767,9.502,145845.0,921
65,2015-02-25,9.639,9.522,9.885,9.463,154696.0,921
66,2015-02-26,9.522,9.561,9.639,9.404,101434.0,921
67,2015-02-27,9.59,9.6,9.679,9.492,87349.0,921
68,2015-03-02,9.639,9.826,9.836,9.512,176400.0,921
69,2015-03-03,9.728,9.482,9.738,9.433,148408.0,921
70,2015-03-04,9.482,9.502,9.62,9.374,94186.0,921
71,2015-03-05,9.502,9.551,9.571,9.335,107810.0,921
72,2015-03-06,9.531,9.335,9.639,9.315,99283.0,921
73,2015-03-09,9.286,9.345,9.374,9.158,96215.0,921
74,2015-03-10,9.345,9.492,9.502,9.306,115534.0,921
75,2015-03-11,9.482,9.404,9.59,9.365,96239.0,921
76,2015-03-12,9.443,10.012,10.297,9.335,323746.0,921
77,2015-03-13,9.895,9.934,10.052,9.816,167147.0,921
78,2015-03-16,9.963,10.199,10.277,9.944,237565.0,921
79,2015-03-17,10.209,10.16,10.356,10.032,223490.0,921
80,2015-03-18,10.189,10.699,10.798,10.12,253867.0,921
81,2015-03-19,10.582,10.621,10.66,10.454,159878.0,921
82,2015-03-20,10.641,10.65,11.053,10.533,165764.0,921
83,2015-03-23,10.709,10.758,10.896,10.621,160614.0,921
84,2015-03-24,10.798,10.484,10.798,10.022,195340.0,921
85,2015-03-25,10.484,10.65,10.719,10.307,155435.0,921
86,2015-03-26,10.493,10.857,11.151,10.464,243997.0,921
87,2015-03-27,10.601,10.592,10.631,10.326,180882.45,921
88,2015-03-30,10.454,10.562,10.67,10.454,160791.0,921
89,2015-03-31,10.65,10.552,10.768,10.513,184017.0,921
90,2015-04-01,10.572,10.847,10.847,10.405,200603.0,921
91,2015-04-02,10.886,10.847,11.043,10.699,198452.0,921
92,2015-04-03,10.847,11.259,11.269,10.778,250156.0,921
93,2015-04-07,11.23,11.298,11.446,11.122,208881.0,921
94,2015-04-08,11.288,10.984,11.406,10.896,180445.0,921
95,2015-04-09,10.994,10.69,11.043,10.356,147611.0,921
96,2015-04-10,10.699,10.886,10.945,10.552,137019.0,921
97,2015-04-13,10.886,11.023,11.082,10.837,146635.0,921
98,2015-04-14,11.023,11.092,11.18,10.955,163663.0,921
99,2015-04-15,11.092,10.562,11.23,10.552,145358.0,921
100,2015-04-16,10.405,10.601,10.768,10.356,100017.0,921
101,2015-04-17,10.631,10.719,10.778,10.611,142602.0,921
102,2015-04-20,10.641,10.376,10.709,10.366,179764.0,921
103,2015-04-21,10.376,10.837,10.837,10.366,162248.0,921
104,2015-04-22,10.876,11.063,11.131,10.876,169483.0,921
105,2015-04-23,11.063,11.308,11.455,10.965,235134.0,921
106,2015-04-24,11.171,11.504,11.76,11.082,226544.0,921
107,2015-04-27,11.514,11.465,11.612,11.239,212600.0,921
108,2015-04-28,11.387,10.896,11.661,10.896,220532.0,921
109,2015-04-29,10.915,11.141,11.18,10.886,140517.0,921
110,2015-04-30,11.161,10.955,11.22,10.886,134357.0,921
111,2015-05-04,10.994,11.308,11.338,10.925,163492.0,921
112,2015-05-05,11.357,10.974,11.416,10.896,140877.0,921
113,2015-05-06,10.974,10.709,11.288,10.601,161518.0,921
114,2015-05-07,10.709,10.317,10.847,10.307,122435.0,921
