,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2014-07-02,9.8,10.08,10.01,9.76,96683.28,0.31,3.2,10.01,10.01,10.01,96683.28,96683.28,96683.28,1.19
2014-07-03,9.98,10.1,9.98,9.92,51103.01,-0.03,-0.3,9.995,9.995,9.995,73893.15,73893.15,73893.15,0.63
2014-07-04,9.92,10.08,10.0,9.89,40393.42,0.02,0.2,9.997,9.997,9.997,62726.57,62726.57,62726.57,0.5
2014-07-07,9.98,10.03,9.93,9.91,38246.37,-0.07,-0.7,9.98,9.98,9.98,56606.52,56606.52,56606.52,0.47
2014-07-08,9.9,9.93,9.88,9.74,45777.27,-0.05,-0.5,9.96,9.96,9.96,54440.67,54440.67,54440.67,0.57
2014-07-09,9.82,9.93,9.69,9.69,41704.26,-0.19,-1.92,9.896,9.915,9.915,43444.87,52317.94,52317.94,0.51
2014-07-10,9.69,9.79,9.63,9.58,34551.19,-0.06,-0.62,9.826,9.874,9.874,40134.5,49779.83,49779.83,0.43
2014-07-11,9.59,9.75,9.74,9.59,26996.35,0.11,1.14,9.774,9.858,9.858,37455.09,46931.89,46931.89,0.33
2014-07-14,9.71,10.02,9.98,9.7,54325.95,0.24,2.46,9.784,9.871,9.871,40671.0,47753.46,47753.46,0.67
2014-07-15,9.97,10.01,9.87,9.79,45572.8,-0.11,-1.1,9.782,9.871,9.871,40630.11,47535.39,47535.39,0.56
2014-07-16,9.89,10.2,10.07,9.87,97248.89,0.2,2.03,9.858,9.877,9.889,51739.04,47591.95,52054.8,1.2
2014-07-17,10.07,10.09,9.94,9.86,42870.66,-0.13,-1.29,9.92,9.873,9.893,53402.93,46768.72,51289.45,0.53
2014-07-18,9.95,10.1,9.93,9.87,35435.09,-0.01,-0.1,9.958,9.866,9.896,55090.68,46272.88,50069.89,0.44
2014-07-21,9.9,9.95,9.78,9.73,31758.05,-0.15,-1.51,9.918,9.851,9.888,50577.1,45624.05,48761.9,0.39
2014-07-22,9.8,9.94,9.93,9.72,40360.42,0.15,1.53,9.93,9.856,9.891,49534.62,45082.37,48201.8,0.5
2014-07-23,9.86,9.94,9.7,9.63,52621.35,-0.23,-2.32,9.856,9.857,9.879,40609.11,46174.08,48478.02,0.65
2014-07-24,9.71,9.92,9.87,9.61,51091.18,0.17,1.75,9.842,9.881,9.878,42253.22,47828.07,48631.74,0.63
2014-07-25,9.84,9.94,9.92,9.76,45766.73,0.05,0.51,9.84,9.899,9.881,44319.55,49705.11,48472.57,0.56
