,date,open,close,high,low,volume,code
0,2014-03-18,6.64,6.55,6.69,6.44,126060.0,2524
1,2014-03-19,6.5,6.43,6.53,6.3,75928.0,2524
2,2014-03-20,6.4,6.4,6.59,6.31,98068.0,2524
3,2014-03-21,6.28,6.41,6.44,6.18,80725.0,2524
4,2014-03-24,6.38,6.4,6.42,6.31,50552.0,2524
5,2014-03-25,6.37,6.36,6.49,6.34,45255.0,2524
6,2014-03-26,6.36,6.38,6.42,6.31,38712.0,2524
7,2014-03-27,6.4,6.33,6.4,6.25,46310.0,2524
8,2014-03-28,6.33,6.28,6.36,6.16,53268.0,2524
9,2014-03-31,6.2,6.23,6.37,6.19,34877.0,2524
10,2014-04-01,6.19,6.36,6.38,6.15,43951.0,2524
11,2014-08-13,7.0,7.0,7.0,6.88,674594.0,2524
12,2014-08-14,7.05,7.17,7.36,6.88,868038.0,2524
13,2014-08-15,7.09,6.92,7.09,6.85,372176.0,2524
14,2014-08-18,6.9,6.88,7.03,6.79,325443.0,2524
15,2014-08-19,6.87,6.76,7.0,6.73,390666.0,2524
16,2014-08-20,6.76,6.78,6.8,6.7,261676.0,2524
17,2014-08-21,6.78,6.65,6.78,6.59,239933.0,2524
18,2014-08-22,6.67,6.64,6.67,6.58,270340.0,2524
19,2014-08-25,6.66,6.67,6.76,6.63,237016.0,2524
20,2014-08-26,6.72,6.5,6.72,6.47,178404.0,2524
21,2014-08-27,6.54,6.47,6.55,6.43,119341.0,2524
22,2014-08-28,6.48,6.65,6.78,6.41,250999.0,2524
23,2014-08-29,6.72,6.71,6.77,6.63,176439.0,2524
24,2014-09-01,6.67,6.72,6.72,6.57,155891.0,2524
25,2014-09-02,6.72,6.91,7.0,6.68,417862.0,2524
26,2014-09-03,6.89,6.91,6.95,6.81,227984.0,2524
27,2014-09-04,6.96,6.88,6.96,6.82,238223.0,2524
28,2014-09-05,6.86,6.85,6.88,6.73,266165.0,2524
29,2014-09-09,6.83,6.95,7.0,6.78,272259.0,2524
30,2014-09-10,6.91,7.01,7.12,6.86,306114.0,2524
31,2014-09-11,6.99,6.85,7.04,6.85,299473.0,2524
32,2014-09-12,6.89,7.02,7.06,6.83,203756.0,2524
33,2014-09-15,7.03,7.06,7.19,7.0,250111.0,2524
34,2014-09-16,7.1,6.94,7.3,6.88,324546.0,2524
35,2014-09-17,6.9,6.88,6.95,6.76,177729.0,2524
36,2014-09-18,6.89,6.95,7.05,6.89,149762.0,2524
37,2014-09-19,6.98,6.93,7.06,6.81,181469.0,2524
38,2014-09-22,6.85,6.8,6.93,6.75,147783.0,2524
39,2014-09-23,6.76,6.94,7.08,6.76,229406.0,2524
40,2014-09-24,6.92,7.02,7.03,6.9,235935.0,2524
41,2014-09-25,7.04,7.15,7.23,7.01,366863.0,2524
42,2014-09-26,7.16,7.13,7.18,7.07,230531.0,2524
43,2014-09-29,7.17,7.15,7.18,7.07,233122.0,2524
44,2014-09-30,7.15,7.17,7.26,7.14,229708.0,2524
