,code,name,date,weight
145,000157,中联重科,2017-06-01,0.2
146,300072,三聚环保,2017-06-01,0.31
147,600958,东方证券,2017-06-01,0.44
148,601216,君正集团,2017-06-01,0.13
149,600489,中金黄金,2017-06-01,0.17
150,600023,浙能电力,2017-06-01,0.24
151,600369,西南证券,2017-06-01,0.16
152,600340,华夏幸福,2017-06-01,0.32
153,600111,北方稀土,2017-06-01,0.24
154,600028,中国石化,2017-06-01,0.68
155,601328,交通银行,2017-06-01,1.76
156,002385,大北农,2017-06-01,0.13
157,600018,上港集团,2017-06-01,0.21
158,600754,锦江股份,2017-06-01,0.04
159,600688,上海石化,2017-06-01,0.15
160,002736,国信证券,2017-06-01,0.33
161,600019,宝钢股份,2017-06-01,0.57
162,600008,首创股份,2017-06-01,0.16
163,601377,兴业证券,2017-06-01,0.36
164,300027,华谊兄弟,2017-06-01,0.13
165,000712,锦龙股份,2017-06-01,0.07
166,600895,张江高科,2017-06-01,0.13
167,000783,长江证券,2017-06-01,0.32
168,002465,海格通信,2017-06-01,0.19
169,601009,南京银行,2017-06-01,0.42
170,000555,神州信息,2017-06-01,0.05
171,300070,碧水源,2017-06-01,0.35
172,600549,厦门钨业,2017-06-01,0.09
173,601989,中国重工,2017-06-01,0.59
174,601919,中远海控,2017-06-01,0.21
175,601872,招商轮船,2017-06-01,0.11
176,601857,中国石油,2017-06-01,0.39
177,601800,中国交建,2017-06-01,0.25
178,601766,中国中车,2017-06-01,1.03
179,601727,上海电气,2017-06-01,0.22
180,601608,中信重工,2017-06-01,0.07
181,601390,中国中铁,2017-06-01,0.69
182,601258,庞大集团,2017-06-01,0.14
183,601169,北京银行,2017-06-01,1.12
184,601099,太平洋,2017-06-01,0.28
185,601088,中国神华,2017-06-01,0.44
186,600959,江苏有线,2017-06-01,0.17
187,600875,东方电气,2017-06-01,0.11
188,600873,梅花生物,2017-06-01,0.11
189,600795,国电电力,2017-06-01,0.42
190,600666,奥瑞德,2017-06-01,0.13
191,600654,*ST中安,2017-06-01,0.12
192,600648,外高桥,2017-06-01,0.07
193,600485,信威集团,2017-06-01,0.22
194,600415,小商品城,2017-06-01,0.22
195,600115,东方航空,2017-06-01,0.21
196,600100,同方股份,2017-06-01,0.26
197,600085,同仁堂,2017-06-01,0.18
198,600050,中国联通,2017-06-01,0.65
199,600030,中信证券,2017-06-01,1.32
200,300251,光线传媒,2017-06-01,0.07
201,300104,乐视网,2017-06-01,0.37
202,002673,西部证券,2017-06-01,0.24
203,002426,胜利精密,2017-06-01,0.13
204,002252,上海莱士,2017-06-01,0.21
205,002129,中环股份,2017-06-01,0.11
206,002049,紫光国芯,2017-06-01,0.12
207,000800,一汽轿车,2017-06-01,0.08
208,000686,东北证券,2017-06-01,0.14
209,000503,海虹控股,2017-06-01,0.18
210,000100,TCL 集团,2017-06-01,0.26
211,000061,农 产 品,2017-06-01,0.06
212,000009,中国宝安,2017-06-01,0.16
213,000001,平安银行,2017-06-01,0.81
214,600535,天士力,2017-06-01,0.27
215,000568,泸州老窖,2017-06-01,0.35
216,300059,东方财富,2017-06-01,0.3
217,600104,上汽集团,2017-06-01,1.1
218,600177,雅戈尔,2017-06-01,0.22
219,600820,隧道股份,2017-06-01,0.19
220,600015,DR华夏银,2017-06-01,0.59
221,601669,中国电建,2017-06-01,0.38
222,000540,中天金融,2017-06-01,0.18
223,601998,中信银行,2017-06-01,0.19
224,601186,中国铁建,2017-06-01,0.58
225,600109,国金证券,2017-06-01,0.25
226,000718,苏宁环球,2017-06-01,0.07
227,300015,爱尔眼科,2017-06-01,0.14
228,300133,华策影视,2017-06-01,0.08
229,000166,申万宏源,2017-06-01,0.35
230,001979,招商蛇口,2017-06-01,0.49
231,600649,城投控股,2017-06-01,0.13
232,601618,中国中冶,2017-06-01,0.28
233,000538,云南白药,2017-06-01,0.49
234,601688,华泰证券,2017-06-01,0.59
235,002310,东方园林,2017-06-01,0.17
236,600000,浦发银行,2017-06-01,1.49
237,600016,民生银行,2017-06-01,1.95
238,000876,新 希 望,2017-06-01,0.17
239,600196,复星医药,2017-06-01,0.33
240,600009,上海机场,2017-06-01,0.38
241,000060,中金岭南,2017-06-01,0.15
242,600297,广汇汽车,2017-06-01,0.17
243,000008,神州高铁,2017-06-01,0.06
244,600518,XD康美药,2017-06-01,0.66
245,000625,长安汽车,2017-06-01,0.28
246,600332,白云山,2017-06-01,0.16
247,002074,国轩高科,2017-06-01,0.12
248,600547,山东黄金,2017-06-01,0.21
249,600221,海航控股,2017-06-01,0.22
250,601155,新城控股,2017-06-01,0.16
251,600021,上海电力,2017-06-01,0.11
252,000039,中集集团,2017-06-01,0.12
253,601611,中国核建,2017-06-01,0.06
254,600037,歌华有线,2017-06-01,0.1
255,600406,国电南瑞,2017-06-01,0.25
256,600705,中航资本,2017-06-01,0.28
257,601555,东吴证券,2017-06-01,0.24
258,002007,华兰生物,2017-06-01,0.2
259,600886,国投电力,2017-06-01,0.33
260,601211,国泰君安,2017-06-01,0.91
261,000858,五 粮 液,2017-06-01,0.94
262,300182,捷成股份,2017-06-01,0.1
263,002202,金风科技,2017-06-01,0.24
264,600372,中航电子,2017-06-01,0.08
265,600519,贵州茅台,2017-06-01,2.32
266,002594,比亚迪,2017-06-01,0.28
267,600663,陆家嘴,2017-06-01,0.18
268,601668,中国建筑,2017-06-01,1.48
269,600060,海信电器,2017-06-01,0.11
270,000839,中信国安,2017-06-01,0.25
271,000917,电广传媒,2017-06-01,0.12
272,601018,宁波港,2017-06-01,0.23
273,601788,光大证券,2017-06-01,0.31
274,000750,国海证券,2017-06-01,0.16
275,600839,四川长虹,2017-06-01,0.13
276,002466,天齐锂业,2017-06-01,0.25
277,000027,深圳能源,2017-06-01,0.08
278,601198,XD东兴证,2017-06-01,0.19
279,600999,招商证券,2017-06-01,0.4
280,600208,新湖中宝,2017-06-01,0.17
281,002027,分众传媒,2017-06-01,0.08
282,601633,长城汽车,2017-06-01,0.15
283,002475,立讯精密,2017-06-01,0.24
284,000728,国元证券,2017-06-01,0.22
285,600309,万华化学,2017-06-01,0.32
286,600061,国投安信,2017-06-01,0.17
287,600871,石化油服,2017-06-01,0.07
288,000069,华侨城Ａ,2017-06-01,0.3
289,000559,万向钱潮,2017-06-01,0.13
290,601901,方正证券,2017-06-01,0.39
291,300144,宋城演艺,2017-06-01,0.12
292,600606,绿地控股,2017-06-01,0.2
293,002739,万达电影,2017-06-01,0.27
294,000792,盐湖股份,2017-06-01,0.11
295,002146,荣盛发展,2017-06-01,0.14
296,002304,洋河股份,2017-06-01,0.54
297,600373,中文传媒,2017-06-01,0.11
298,002299,圣农发展,2017-06-01,0.06
299,300168,万达信息,2017-06-01,0.12
